eng,ita,spa,ger,fra
135.89990375360924,140.5301204819277,134.4860710854947,125.51236749116606,129.34131736526945
146.67949951876804,138.19494584837543,128.20019249278153,139.34117647058824,131.10576923076923
137.52380952380952,136.85230024213075,134.10628019323673,129.27467300832342,126.88588007736942
139.53488372093022,147.3913043478261,132.4401913875598,139.644128113879,137.56003842459174
145.24271844660194,141.87192118226602,135.3846153846154,132.94255568581477,126.58730158730158
146.0018814675447,131.21019108280254,137.97101449275362,142.77372262773721,131.11545988258317
141.26679462571977,142.91497975708504,134.74088291746642,135.16090584028603,123.828125
152.3076923076923,143.57976653696497,135.61253561253562,134.57142857142856,130.46875
151.1025886864813,140.86124401913875,138.88363292336803,138.19905213270144,138.5214007782101
148.0193236714976,140.26974951830442,149.66507177033492,135.0,138.06327900287633
136.83187560738583,138.46153846153845,142.88407163053722,137.26315789473685,129.10891089108912
145.94078319006684,137.24340175953077,139.96175908221798,142.45530393325387,139.53488372093022
150.0,144.29400386847195,148.4848484848485,140.57142857142856,135.14563106796115
151.78907721280603,148.57142857142858,150.66413662239088,145.85480093676816,143.41085271317831
143.26647564469914,139.38795656465942,159.46462715105162,139.52153110047846,139.54372623574145
137.07647628267182,146.98564593301435,150.76335877862596,141.53482880755607,135.27131782945736
154.54545454545453,153.20754716981133,152.2359657469077,138.19905213270144,148.75717017208413
154.8511047070125,154.02081362346263,144.97153700189753,134.51497005988023,147.8927203065134
152.66604303086996,145.7725947521866,136.3106796116505,141.8698224852071,141.74757281553397
142.74809160305344,148.24644549763033,142.6086956521739,146.11764705882354,137.6792698826597
136.9914853358562,154.40613026819923,150.53346265761397,141.0752688172043,145.07177033492823
151.7110266159696,147.02495201535507,141.88532555879493,138.46153846153845,138.2239382239382
146.6286799620133,143.68932038834953,143.86298763082777,140.4982206405694,143.89312977099235
